Herb_ID	Med_ID
933	9
941	293
984	416
1006	292
1010	244
1033	63
1050	499
1069	88
1076	30
1098	379
1106	48
1123	356
1164	442
1173	296
1197	96
1224	302
1267	554
1272	486
1282	389
1298	208
1304	331
1308	313
1328	148
1344	220
1345	446
1346	353
1360	250
1367	513
1369	80
1370	112
1379	137
1387	479
1393	515
1397	542
1401	546
1418	237
1419	37
1421	72
1434	70
1464	540
1467	17
1472	76
1482	489
1483	586
1494	537
1496	556
1498	562
1501	81
1509	225
1516	581
1518	98
1532	123
1534	134
1554	19
1569	221
1592	187
1602	284
1619	277
1626	490
1630	345
1651	374
1652	343
1654	616
1656	16
1660	509
1671	60
1692	569
1702	286
1712	190
1739	298
1740	572
1746	142
1766	32
1767	370
1780	95
1784	200
1801	68
1809	397
1844	378
1849	295
1881	281
1883	209
1889	146
1891	266
1893	617
1906	280
1907	327
1911	518
1923	332
1932	226
1957	247
1970	381
1978	44
2033	196
2047	312
2057	563
2061	372
2074	529
2090	453
2143	473
2150	522
2156	326
2179	589
2186	603
2188	264
2199	79
2202	334
2215	204
2221	390
2224	377
2226	167
2276	93
2296	172
2300	565
2337	403
2347	501
2349	357
2350	405
2356	474
2428	524
2443	12
2447	153
2474	234
2475	344
2502	58
2514	219
2519	164
2522	242
2538	206
2540	126
2564	203
2582	505
2612	169
2623	395
2633	166
2666	175
2668	119
2681	414
2683	614
2696	503
2716	310
2751	276
2756	22
2785	162
2826	73
2834	347
2852	301
2853	240
2895	463
2896	583
2909	251
2910	394
2915	104
2941	78
2958	74
2982	520
2994	525
3000	584
3006	109
3013	217
3014	552
3022	43
3029	330
3052	466
3064	215
3068	53
3073	454
3075	510
3085	13
3108	588
3134	4
3147	609
3154	424
3172	539
3175	18
3194	54
3216	23
3244	398
3245	2
3272	340
3273	82
3277	459
3279	384
3300	108
3303	564
3318	308
3336	130
3358	177
3360	375
3364	316
3370	319
3379	388
3390	610
3396	445
3402	8
3404	411
3414	516
3416	580
3445	166
3448	336
3454	205
3492	491
3507	439
3526	361
3548	407
3555	49
3567	387
3588	391
3632	317
3646	469
3655	512
3658	158
3673	106
3675	147
3676	223
3682	601
3683	255
3696	367
3706	380
3711	519
3716	422
3717	262
3760	101
3768	470
3794	369
3800	593
3811	83
3847	349
3861	6
3867	396
3895	393
3900	570
3947	359
3969	543
3977	438
3984	15
3993	216
3997	156
3998	275
4021	427
4057	573
4063	514
4064	480
4072	341
4083	249
4090	550
4112	591
4129	21
4130	10
4132	596
4150	4
4163	228
4171	437
4173	186
4175	483
4179	118
4190	224
4192	404
4211	100
4221	531
4264	612
4269	458
4272	335
4287	271
4289	400
4306	325
4320	607
4382	498
4389	333
4428	618
4449	417
4459	105
4469	339
4472	303
4486	495
4487	402
4489	64
4492	320
4501	430
4506	382
4518	267
4526	363
4547	577
4551	71
4597	257
4634	278
4660	557
4665	338
4677	595
4686	238
4696	231
4735	20
4738	449
4741	289
4762	541
4763	36
4776	285
4783	467
4788	176
4848	399
4857	306
4866	294
4876	517
4883	506
4889	89
4893	567
4918	152
4924	5
4926	324
4939	527
4978	457
4986	35
4990	185
5009	613
5014	314
5016	50
5020	476
5033	441
5034	178
5053	492
5082	245
5106	191
5107	139
5110	328
5124	433
5134	121
5145	115
5147	182
5151	91
5172	202
5194	401
5195	282
5196	354
5207	451
5212	558
5258	252
5260	212
5279	116
5284	410
5304	160
5308	568
5332	235
5347	230
5374	3
5395	229
5396	321
5403	270
5404	491
5413	207
5422	258
5423	409
5505	40
5512	566
5522	472
5534	604
5541	180
5570	547
5613	468
5615	462
5621	260
5635	213
5643	412
5646	548
5656	46
5658	300
5698	192
5699	561
5702	494
5703	426
5736	107
5755	523
5782	511
5784	413
5790	456
5800	181
5813	269
5827	352
5843	350
5857	297
5868	371
5869	436
5894	193
5926	56
5927	256
5942	421
5948	291
5953	279
5954	143
6014	159
6029	535
6033	419
6070	117
6079	440
6108	163
6136	299
6143	189
6161	136
6191	452
6194	594
6196	304
6205	530
6218	132
6230	287
6237	423
6238	536
6269	174
6272	585
6281	273
6311	39
6314	553
6322	571
6331	66
6338	420
6345	129
6350	443
6353	428
6358	246
6371	52
6390	373
6408	241
6418	348
6424	362
6430	259
6510	254
6529	198
6584	99
6593	102
6597	538
6604	432
6621	602
6636	124
6668	210
6681	114
6682	455
6686	521
6688	197
6690	477
6700	481
6726	288
6741	85
6743	567
6752	305
6768	61
6789	429
6799	86
6800	194
6801	128
6802	120
6841	549
6854	487
6859	38
6886	92
6890	600
6896	1
6905	605
6908	140
6919	482
6924	24
6935	188
6955	598
6999	155
7019	318
7034	369
7047	31
7058	309
7069	161
7091	265
7141	25
7145	111
7164	386
7221	465
7227	7
7236	173
7238	342
7254	555
7282	135
7294	157
7296	113
7298	478
7301	154
7305	406
7307	392
7334	447
7342	496
7343	615
7370	358
7381	47
7382	460
7399	500
7422	323
7426	532
7428	579
7436	582
7438	110
7444	346
7446	517
7456	122
7468	464
7484	150
7504	248
7506	351
7520	408
7523	45
7524	211
7567	67
7580	599
7586	504
7589	151
7608	179
7616	307
7629	576
7644	418
7648	484
7654	97
7659	243
7662	127
7678	263
7682	493
7687	233
7721	311
7733	425
7734	133
7740	11
7741	315
7751	94
7827	528
7847	232
7863	574
7869	28
7870	376
7880	195
7888	14
7932	290
7935	268
7954	431
7962	75
7973	55
7983	62
7995	145
7998	222
8009	51
8021	592
8028	236
8035	218
8051	239
8086	434
8088	125
8099	165
8137	322
8148	448
8158	138
8168	149
8202	444
